Park Name,Address,lat,lng
Kubota Garden,"9817 55th Ave S, Seattle, WA 98118, USA",47.5128317,-122.2650264
Lake City Memorial Triangle,"12356 Lake City Way NE, Seattle, WA 98125, USA",47.7179364,-122.2959216
Lake City Mini Park,"12359 Lake City Way NE, Seattle, WA 98125, USA",47.7189847,-122.2958047
Lake People Park (Xacua'bs),"3100 S Bradford St, Seattle, WA 98108, USA",47.5689195,-122.292496
Lake Union Park,"Naval Reserve Armory, 860 Terry Ave N, Seattle, WA 98109, USA",47.62758640000001,-122.3366394
Lake Washington Boulevard,"Seward Park, Seattle, WA 98118, USA",47.5502603,-122.26485
Lakeridge Park,"10201 Holyoke Way S, Seattle, WA 98178, USA",47.5093195,-122.2489045
Lakeridge Playground,"10145 Rainier Ave S, Seattle, WA 98178, USA",47.510317,-122.246843
Lakeview Park,"340 37th Ave E, Seattle, WA 98112, USA",47.6223002,-122.2857149
Lakeview Place,"1042 Lakeview Blvd E, Seattle, WA 98102, USA",47.6293682,-122.3259212
Lakewood Moorage,"4400 Lake Washington Blvd S, Seattle, WA 98118, USA",47.5628561,-122.2681812
Lakewood Playground,"5013 S Angeline St, Seattle, WA 98118, USA",47.5594022,-122.2705443
Lakewood Triangle,"3114 Cascadia Ave S, Seattle, WA 98144, USA",47.57634789999999,-122.284085
Lambert Place,"3800 E Madison St, Seattle, WA 98112, USA",47.6321974,-122.2833423
Landing Parkway,"4099 S Horton St, Seattle, WA 98144, USA",47.5737112,-122.2833421
Laurelhurst Playfield,"4544 NE 41st St, Seattle, WA 98105, USA",47.6584347,-122.279356
Laurelhurst Triangle,"3325 E Laurelhurst Dr NE, Seattle, WA 98105, USA",47.6524076,-122.2774519
LaVilla Meadows Natural Area on Thornton Creek,"Ravenna Ave NE, Ohio, USA",40.9190948,-81.25416729999999
Lawton Park,"4005 27th Ave W, Seattle, WA 98199, USA",47.6566772,-122.3911046
Leschi Park,"201 Lakeside Ave S, Seattle, WA 98144, USA",47.6009019,-122.2856299
Leschi-Lake Dell Natural Area,"3525 E Terrace St, Seattle, WA 98122, USA",47.6055303,-122.2877539
Lewis Park,"1120 15th Ave S, Seattle, WA 98144, USA",47.5926322,-122.3146397
Licorice Fern Natural Area on Thornton Creek,"12th Ave NE, Norman, OK 73071, USA",35.2547391,-97.423556
Licton Springs Park,"9536 Ashworth Ave N, Seattle, WA 98103, USA",47.697845,-122.339658
Lincoln Park,"8011 Fauntleroy Way SW, Seattle, WA 98136, USA",47.531497,-122.392876
Linden Orchard Park,"Linden Ave, North Township, IN, USA",41.56659550000001,-87.49888179999999
Little Brook Park,"14043 32nd Ave NE, Seattle, WA 98125, USA",47.7313787,-122.2938391
Llandover Woods Greenspace,"14499 3rd Ave NW, Seattle, WA 98177, USA",47.7341069,-122.3608311
Longfellow Creek GS: North,"Delridge Way SW, Seattle, WA 98106, USA",47.5444635,-122.3613433
Lowman Beach Park,"7017 Beach Dr SW, Seattle, WA 98136, USA",47.5401679,-122.3967532
Loyal Heights Playfield,"2101 NW 77th St, Seattle, WA 98117, USA",47.6846798,-122.3827862
Lynn Street Mini Park,"2291 Fairview Ave E, Seattle, WA 98102, USA",47.639594,-122.3294341
MacLean Park,"1922 Taylor Ave N, Seattle, WA 98109, USA",47.6359047,-122.3458995
Madison Park,"4201 E Madison St, Seattle, WA 98112, USA",47.6356189,-122.2782143
Madison Park North Beach,"2300 43rd Ave E, Seattle, WA 98112, USA",47.6397315,-122.2770571
Madrona Briar Patch,"1605 Madrona Dr, Seattle, WA 98122, USA",47.6153299,-122.2839904
Madrona Park,"853 Lake Washington Blvd, Seattle, WA 98122, USA",47.6097438,-122.282921
Madrona Playground,"3211 E Spring St, Seattle, WA 98122, USA",47.6116299,-122.2909501
Madrona Ravine,"E Spring St, Seattle, WA 98122, USA",47.6115759,-122.3001068
Magnolia Greenbelt,"W Howe St, Seattle, WA, USA",47.6359757,-122.3762004
Magnolia Manor Park,"3500 28th Ave W, Seattle, WA 98199, USA",47.6516826,-122.3928728
Magnolia Park,"1461 Magnolia Blvd W, Seattle, WA 98199, USA",47.6336997,-122.3974315
Magnolia Playfield,"2518 34th Ave W, Seattle, WA 98199, USA",47.6407733,-122.4009732
Magnolia Tidelands Park,"Seattle, WA, USA",47.6062095,-122.3320708
Magnuson Park,"7400 Sand Point Way NE, Seattle, WA 98115, USA",47.6829455,-122.2597761
Maple Leaf Community Garden,"529 NE 103rd St, Seattle, WA 98125, USA",47.7031279,-122.3219908
Maple Leaf Reservoir Park,"1020 NE 82nd St, Seattle, WA 98115, USA",47.6885757,-122.3173054
Maple School Ravine,"1950 S Graham St, Seattle, WA 98108, USA",47.54715059999999,-122.3074104
Maple Wood Playfield,"4801 Corson Ave S, Seattle, WA 98108, USA",47.5599737,-122.3174649
Marra-Desimone Park,"9026 4th Ave S, Seattle, WA 98108, USA",47.5219939,-122.3293077
Marshall Park,"1191 7th Ave W, Seattle, WA 98119, USA",47.629544,-122.3664754
Martha Washington Park,"6612 57th Ave S, Seattle, WA 98118, USA",47.5428187,-122.2618017
Martin Luther King JR Memorial,"2200 Martin Luther King Jr Way S, Seattle, WA 98144, USA",47.5835956,-122.2981213
Marvin's Garden,"5400 Ballard Ave NW, Seattle, WA 98107, USA",47.6676465,-122.384768
Matthews Beach Park,"5100 NE 93rd St, Seattle, WA 98115, USA",47.69592,-122.272688
Mayfair Park,"2600 2nd Ave N, Seattle, WA 98109, USA",47.64327000000001,-122.353869
McClellan Place,"1600 S McClellan St, Seattle, WA 98144, USA",47.5786283,-122.3115864
McGilvra Boulevard,"1099 McGilvra Blvd E, Seattle, WA 98112, USA",47.6283378,-122.2812838
McGilvra Place,"1425 E Madison St, Seattle, WA 98122, USA",47.6142142,-122.3134198
McGraw Square,"Westlake Ave N, Seattle, WA 98109, USA",47.6323592,-122.3409157
Meadowbrook Playfield,"10533 35th Ave NE, Seattle, WA 98125, USA",47.7051758,-122.2908519
Me-Kwa-Mooks Natural Area,"4100 Aikins Ave SW, Seattle, WA 98116, USA",47.56754000000001,-122.40638
Me-Kwa-Mooks Park,"4503 Beach Dr SW, Seattle, WA 98116, USA",47.562957,-122.4063119
Meridian Playground,"4649 Sunnyside Ave N, Seattle, WA 98103, USA",47.6639475,-122.3313734
Miller Playfield,"330 19th Ave E, Seattle, WA 98112, USA",47.6218654,-122.3069
Miller Triangle,"222 20th Ave E, Seattle, WA 98112, USA",47.62032929999999,-122.306044
Mineral Springs Park,"1500 N 105th St, Seattle, WA 98133, USA",47.7051935,-122.3360156
Mock Creek Ravine,"9612 35th Ave NE, Seattle, WA 98115, USA",47.6987637,-122.2905577
Montlake Boulevard,"2811 Montlake Blvd E, Seattle, WA 98112, USA",47.646289,-122.3047439
Montlake Playfield,"1618 E Calhoun St, Seattle, WA 98112, USA",47.6416856,-122.3101794
Morgan Junction,"6413 California Ave SW, Seattle, WA 98136, USA",47.5453907,-122.3875175
Mount Baker Boulevard,"S McClellan St, Seattle, WA 98144, USA",47.5783547,-122.3012865
Mount Baker Park,"2521 Lake Park Dr S, Seattle, WA 98144, USA",47.58308299999999,-122.2874235
Mount Claire Park,"2523 Mt Claire Dr S, Seattle, WA 98144, USA",47.5814232,-122.2865577
Mt Baker Ridge Viewpoint,"1403 31st Ave S, Seattle, WA 98144, USA",47.59034279999999,-122.2924401
Myrtle Edwards Park,"3130 Alaskan Way, Seattle, WA 98121, USA",47.6148113,-122.3546241
Myrtle Reservoir,"35th Ave SW, Seattle, WA, USA",47.5366644,-122.3765918
Nantes Park,"5062 SW Admiral Way, Seattle, WA 98116, USA",47.57926,-122.395986
Nathan Hale Playfield,"10750 30th Ave NE, Seattle, WA 98125, USA",47.7076174,-122.2946522
NE 60th Street Park,"551 NE 60th St, Seattle, WA 98115, USA",47.6722298,-122.3228722
Nora's Woods,"720 29th Ave, Seattle, WA 98122, USA",47.60852420000001,-122.2948887
North Beach Park,"8999 24th Ave NW, Seattle, WA 98117, USA",47.6939557,-122.3875958
North Passage Point Park,"600 NE Northlake Way, Seattle, WA 98105, USA",47.6540381,-122.3219229
Northacres Park,"12718 1st Ave NE, Seattle, WA 98125, USA",47.7212902,-122.3262675
Northeast Queen Anne Greenbelt,"Seattle, WA, USA",47.6062095,-122.3320708
Northgate Park,"10510 5th Ave NE, Seattle, WA 98125, USA",47.70545689999999,-122.3223056
Northlake Park,"699 NE Northlake Way, Seattle, WA 98105, USA",47.6544618,-122.3216321
Northwest 60th Viewpoint,"6001 Seaview Ave NW, Seattle, WA 98107, USA",47.6721969,-122.4055337
Observatory Courts,"1405 Warren Ave N, Seattle, WA 98109, USA",47.6311585,-122.3546724
Occidental Square,"117 S Washington St, Seattle, WA 98104, USA",47.6008694,-122.3336142
Olympic Sculpture Park,"2901 Western Ave, Seattle, WA 98121, USA",47.61643189999999,-122.3541482
Open Water Park,"2351 W Marina Pl, Seattle, WA 98199, USA",47.6314358,-122.3884472
Orchard Street Ravine,"39th Ave SW, Seattle, WA, USA",47.54295330000001,-122.3818813
Othello Playground,"4351 S Othello St, Seattle, WA 98118, USA",47.5370441,-122.2780423
Oxbow Park,"6430 Corson Ave S, Seattle, WA 98108, USA",47.5457531,-122.3220059
Park Home Circle,"5622 Park Rd NE, Seattle, WA 98105, USA",47.6698555,-122.3054447
Parkmont Place,"2401 W Viewmont Way W, Seattle, WA 98199, USA",47.6405554,-122.4095791
Parsons Gardens,"650 W Highland Dr, Seattle, WA 98119, USA",47.6296233,-122.3657292
Peace Park,"NE 40th St, Williston, FL 32696, USA",29.3886035,-82.4214836
